rate,window_duration,p_click_heralded
2.00e+07,1.00e-07,1.0e-02,0.625521
2.00e+07,1.00e-07,1.0e-01,0.670936
2.00e+07,2.00e-07,1.0e-08,0.732106
2.00e+07,2.00e-07,1.0e-07,0.730810
2.00e+07,2.00e-07,1.0e-06,0.729661
2.00e+07,2.00e-07,1.0e-05,0.731442
2.00e+07,2.00e-07,1.0e-04,0.731154
2.00e+07,2.00e-07,1.0e-03,0.731159
2.00e+07,2.00e-07,1.0e-02,0.736496
2.00e+07,2.00e-07,1.0e-01,0.768395
2.00e+07,5.00e-07,1.0e-08,0.922925
2.00e+07,5.00e-07,1.0e-07,0.924076
2.00e+07,5.00e-07,1.0e-06,0.925187
2.00e+07,5.00e-07,1.0e-05,0.925728
2.00e+07,5.00e-07,1.0e-04,0.924819
2.00e+07,5.00e-07,1.0e-03,0.924534
2.00e+07,5.00e-07,1.0e-02,0.924228
2.00e+07,5.00e-07,1.0e-01,0.942907
2.00e+07,1.00e-06,1.0e-08,0.993400
2.00e+07,1.00e-06,1.0e-07,0.993270
2.00e+07,1.00e-06,1.0e-06,0.993150
2.00e+07,1.00e-06,1.0e-05,0.993180
2.00e+07,1.00e-06,1.0e-04,0.993549
2.00e+07,1.00e-06,1.0e-03,0.993160
2.00e+07,1.00e-06,1.0e-02,0.994050
2.00e+07,1.00e-06,1.0e-01,0.996220
5.00e+07,1.00e-08,1.0e-08,0.528636
5.00e+07,1.00e-08,1.0e-07,0.532115
5.00e+07,1.00e-08,1.0e-06,0.534050
5.00e+07,1.00e-08,1.0e-05,0.532430
5.00e+07,1.00e-08,1.0e-04,0.537547
5.00e+07,1.00e-08,1.0e-03,0.529531
5.00e+07,1.00e-08,1.0e-02,0.538298
5.00e+07,1.00e-08,1.0e-01,0.583474
5.00e+07,2.00e-08,1.0e-08,0.559668
5.00e+07,2.00e-08,1.0e-07,0.564154
5.00e+07,2.00e-08,1.0e-06,0.561124
5.00e+07,2.00e-08,1.0e-05,0.561440
5.00e+07,2.00e-08,1.0e-04,0.565192
5.00e+07,2.00e-08,1.0e-03,0.562406
5.00e+07,2.00e-08,1.0e-02,0.568510
5.00e+07,2.00e-08,1.0e-01,0.611389
5.00e+07,5.00e-08,1.0e-08,0.650454
5.00e+07,5.00e-08,1.0e-07,0.654486
5.00e+07,5.00e-08,1.0e-06,0.651895
5.00e+07,5.00e-08,1.0e-05,0.652241
5.00e+07,5.00e-08,1.0e-04,0.653261
5.00e+07,5.00e-08,1.0e-03,0.650176
5.00e+07,5.00e-08,1.0e-02,0.653792
5.00e+07,5.00e-08,1.0e-01,0.698120
5.00e+07,1.00e-07,1.0e-08,0.775979
5.00e+07,1.00e-07,1.0e-07,0.779305
5.00e+07,1.00e-07,1.0e-06,0.779730
5.00e+07,1.00e-07,1.0e-05,0.776265
5.00e+07,1.00e-07,1.0e-04,0.776065
